model,tier,sys_a,sys_b,mean_a,mean_b,diff,n,wilcoxon,p,p_bonf,cliff_delta
llama-3.1-8b,20000,graph-cypher,sql-fts,0.0875,0.615625,-0.528125,160,483.0,4.592662574728073e-22,4.592662574728073e-21,-0.6771484375
llama-3.1-8b,20000,graph-cypher,sql-t2s,0.0875,0.1375,-0.05000000000000002,160,1961.5,0.12411870204809286,1.0,-0.05828125
llama-3.1-8b,20000,llm-only,sql-fts,0.55625,0.615625,-0.059374999999999956,160,3226.0,0.0333417921327874,0.333417921327874,-0.0862890625
llama-3.1-8b,20000,llm-only,sql-t2s,0.55625,0.1375,0.41875,160,1180.0,1.286137138398842e-16,1.286137138398842e-15,0.56796875
llama-3.1-8b,20000,sql-fts,sql-t2s,0.615625,0.1375,0.47812499999999997,160,957.0,2.481608973353858e-18,2.481608973353858e-17,0.61140625
qwen-2.5-72b,200,graph,graph-cypher,0.5537383177570093,0.5677570093457944,-0.014018691588785104,214,7765.5,0.6776168855843095,1.0,-0.014193379334439689
qwen-2.5-72b,200,graph,llm-only,0.5537383177570093,0.6144859813084113,-0.06074766355140193,214,6266.5,0.06873100798547749,0.6873100798547749,-0.07138178006812822
qwen-2.5-72b,200,graph,sql-fts,0.5537383177570093,0.5654205607476636,-0.011682242990654235,214,7949.0,0.5945671652863667,1.0,-0.011660407022447375
qwen-2.5-72b,200,graph,sql-t2s,0.5537383177570093,0.7336448598130841,-0.17990654205607481,214,4298.0,2.353118975609916e-06,2.3531189756099162e-05,-0.21412350423617782
qwen-2.5-72b,200,graph-cypher,llm-only,0.5677570093457944,0.6144859813084113,-0.04672897196261683,214,7699.0,0.14984245109644434,1.0,-0.059765044982094506
qwen-2.5-72b,200,graph-cypher,sql-fts,0.5677570093457944,0.5654205607476636,0.002336448598130869,214,9135.0,0.9633478208936518,1.0,0.0025766442484059745
qwen-2.5-72b,200,graph-cypher,sql-t2s,0.5677570093457944,0.7336448598130841,-0.1658878504672897,214,3665.5,7.5094135982953e-07,7.5094135982953e-06,-0.20827146475674732
qwen-2.5-72b,200,llm-only,sql-fts,0.6144859813084113,0.5654205607476636,0.0490654205607477,214,4352.5,0.0804874104516947,0.8048741045169471,0.062057821643811684
qwen-2.5-72b,200,llm-only,sql-t2s,0.6144859813084113,0.7336448598130841,-0.11915887850467288,214,5755.5,0.001074351221925969,0.01074351221925969,-0.1458205956852127
qwen-2.5-72b,200,sql-fts,sql-t2s,0.5654205607476636,0.7336448598130841,-0.16822429906542058,214,4788.5,2.6315530499243126e-06,2.6315530499243128e-05,-0.20997467027688008
qwen-2.5-72b,2000,graph,graph-cypher,0.5991189427312775,0.5969162995594713,0.0022026431718061845,227,8190.0,0.9794197362388228,1.0,0.007335675056764152
qwen-2.5-72b,2000,graph,llm-only,0.5991189427312775,0.6696035242290749,-0.07048458149779735,227,6906.0,0.03309730079784823,0.3309730079784823,-0.07230879698810379
qwen-2.5-72b,2000,graph,sql-fts,0.5991189427312775,0.6123348017621145,-0.013215859030836996,227,9277.0,0.6763915214728011,1.0,-0.011702148304838053
qwen-2.5-72b,2000,graph,sql-t2s,0.5991189427312775,0.7533039647577092,-0.1541850220264317,227,5962.5,7.484452185302166e-05,0.0007484452185302165,-0.1702924566748821
qwen-2.5-72b,2000,graph-cypher,llm-only,0.5969162995594713,0.6696035242290749,-0.07268722466960353,227,7362.0,0.027825227460843507,0.27825227460843505,-0.08325408992994236
qwen-2.5-72b,2000,graph-cypher,sql-fts,0.5969162995594713,0.6123348017621145,-0.01541850220264318,227,9718.0,0.6390190154942184,1.0,-0.019755865629063247
qwen-2.5-72b,2000,graph-cypher,sql-t2s,0.5969162995594713,0.7533039647577092,-0.15638766519823788,227,4739.0,6.980711261997153e-06,6.980711261997153e-05,-0.18525490500494868
qwen-2.5-72b,2000,llm-only,sql-fts,0.6696035242290749,0.6123348017621145,0.05726872246696035,227,3762.5,0.025336463217376315,0.25336463217376315,0.061926293931572514
qwen-2.5-72b,2000,llm-only,sql-t2s,0.6696035242290749,0.7533039647577092,-0.08370044052863435,227,7398.0,0.030740493401587396,0.307404934015874,-0.10660016689631081
qwen-2.5-72b,2000,sql-fts,sql-t2s,0.6123348017621145,0.7533039647577092,-0.1409691629955947,227,5976.0,0.00020014711174152976,0.0020014711174152974,-0.16309262745250247
qwen-2.5-72b,20000,graph,graph-cypher,0.596551724137931,0.5310344827586206,0.06551724137931036,145,3153.0,0.16998090880867556,1.0,0.08456599286563615
qwen-2.5-72b,20000,graph,llm-only,0.596551724137931,0.6551724137931034,-0.05862068965517242,145,3258.0,0.25173236799012233,1.0,-0.06325802615933412
qwen-2.5-72b,20000,graph,sql-fts,0.596551724137931,0.6275862068965518,-0.03103448275862075,145,3785.0,0.6816972248545241,1.0,-0.02463733650416171
qwen-2.5-72b,20000,graph,sql-t2s,0.596551724137931,0.7379310344827587,-0.14137931034482765,145,2749.5,0.004074668470568127,0.04074668470568127,-0.16313912009512485
qwen-2.5-72b,20000,graph-cypher,llm-only,0.5310344827586206,0.6551724137931034,-0.12413793103448278,145,3326.0,0.016605959831113935,0.16605959831113934,-0.15624256837098693
qwen-2.5-72b,20000,graph-cypher,sql-fts,0.5310344827586206,0.6275862068965518,-0.09655172413793112,145,3698.5,0.08170473661876346,0.8170473661876345,-0.11966706302021403
qwen-2.5-72b,20000,graph-cypher,sql-t2s,0.5310344827586206,0.7379310344827587,-0.206896551724138,145,1475.0,2.541587306173209e-06,2.541587306173209e-05,-0.2608323424494649
qwen-2.5-72b,20000,llm-only,sql-fts,0.6551724137931034,0.6275862068965518,0.027586206896551668,145,2551.5,0.3885251520760422,1.0,0.04399524375743163
qwen-2.5-72b,20000,llm-only,sql-t2s,0.6551724137931034,0.7379310344827587,-0.08275862068965523,145,3313.5,0.0683176763227664,0.6831767632276641,-0.10630202140309156
qwen-2.5-72b,20000,sql-fts,sql-t2s,0.6275862068965518,0.7379310344827587,-0.1103448275862069,145,3285.0,0.020792291304911597,0.20792291304911598,-0.15486325802615933
