model,tier,system,qid,type,judge,fuzzy,latency_ms,cost_usd,turns,gt_suspect,over_answered
claude-haiku-4-5,200,sql-t2s,SL-10,simple-lookup,1.0,1.0,8088,0.0217391,2.0,False,False
claude-haiku-4-5,200,llm-only,SL-10,simple-lookup,1.0,1.0,6427,0.028010049999999998,1.0,False,False
claude-haiku-4-5,200,graph,RSN-24,reasoning,0.5,0.25,36471,0.0823501,11.0,False,False
claude-haiku-4-5,200,sql-fts,RSN-24,reasoning,1.0,0.25,8157,0.0182913,1.0,False,False
claude-haiku-4-5,200,sql-t2s,RSN-24,reasoning,1.0,0.8125,20163,0.03929635,4.0,False,False
claude-haiku-4-5,200,llm-only,RSN-24,reasoning,1.0,0.5,10300,0.027435049999999996,1.0,False,False
claude-haiku-4-5,200,graph,MH-5,multi-hop,1.0,1.0,35371,0.08349014999999999,9.0,False,False
claude-haiku-4-5,200,sql-fts,MH-5,multi-hop,0.5,1.0,9936,0.02044005,1.0,False,False
claude-haiku-4-5,200,sql-t2s,MH-5,multi-hop,1.0,1.0,19767,0.05108275000000001,6.0,False,False
claude-haiku-4-5,200,llm-only,MH-5,multi-hop,0.0,0.0,11814,0.0275988,1.0,False,False
claude-haiku-4-5,200,graph,COH-22,cohort,0.0,0.0,6083,0.0188754,2.0,False,False
claude-haiku-4-5,200,sql-fts,COH-22,cohort,0.0,1.0,6895,0.01628005,1.0,False,False
claude-haiku-4-5,200,sql-t2s,COH-22,cohort,0.0,0.0,9770,0.0271703,3.0,False,False
claude-haiku-4-5,200,llm-only,COH-22,cohort,1.0,1.0,45690,0.06032505,1.0,False,False
claude-haiku-4-5,200,graph,UNA-7,unanswerable,0.0,0.0,32336,0.06361305,7.0,False,False
claude-haiku-4-5,200,sql-fts,UNA-7,unanswerable,0.0,0.0,8745,0.016201300000000002,1.0,False,False
claude-haiku-4-5,200,sql-t2s,UNA-7,unanswerable,0.0,0.5,35468,0.07303795,8.0,False,False
claude-haiku-4-5,200,llm-only,UNA-7,unanswerable,0.0,0.0,12110,0.0241788,1.0,False,False
claude-haiku-4-5,200,graph,TMP-66,temporal,1.0,1.0,44090,0.1004003,12.0,False,False
claude-haiku-4-5,200,sql-fts,TMP-66,temporal,1.0,1.0,2798,0.014730049999999998,1.0,False,False
claude-haiku-4-5,200,sql-t2s,TMP-66,temporal,1.0,1.0,6607,0.01981345,2.0,False,False
claude-haiku-4-5,200,llm-only,TMP-66,temporal,1.0,1.0,2841,0.0210813,1.0,False,False
claude-haiku-4-5,200,graph,SL-20,simple-lookup,1.0,1.0,8540,0.026832200000000004,3.0,False,False
claude-haiku-4-5,200,sql-fts,SL-20,simple-lookup,1.0,1.0,2127,0.0114063,1.0,False,False
claude-haiku-4-5,200,sql-t2s,SL-20,simple-lookup,1.0,1.0,10589,0.02361345,2.0,False,False
claude-haiku-4-5,200,llm-only,SL-20,simple-lookup,1.0,1.0,4301,0.01654005,1.0,False,False
claude-haiku-4-5,200,graph,RSN-96,reasoning,1.0,0.5882352941176471,19098,0.0389568,4.0,False,False
claude-haiku-4-5,200,sql-fts,RSN-96,reasoning,0.0,0.29411764705882354,8339,0.0170138,1.0,False,False
claude-haiku-4-5,200,sql-t2s,RSN-96,reasoning,1.0,0.6470588235294118,20051,0.041073500000000006,4.0,False,False
claude-haiku-4-5,200,llm-only,RSN-96,reasoning,1.0,0.4117647058823529,10904,0.02239755,1.0,False,False
claude-haiku-4-5,200,graph,MH-49,multi-hop,0.5,0.7142857142857143,39938,0.08615035,10.0,False,False
claude-haiku-4-5,200,sql-fts,MH-49,multi-hop,0.0,0.0,7036,0.0133713,1.0,False,False
claude-haiku-4-5,200,sql-t2s,MH-49,multi-hop,1.0,1.0,21019,0.0445763,5.0,False,False
claude-haiku-4-5,200,llm-only,MH-49,multi-hop,0.0,0.0,9202,0.0162163,1.0,False,False
claude-haiku-4-5,200,graph,COH-13,cohort,1.0,1.0,10651,0.0274315,3.0,False,False
claude-haiku-4-5,200,sql-fts,COH-13,cohort,0.0,0.0,8000,0.017055050000000002,1.0,False,False
claude-haiku-4-5,200,sql-t2s,COH-13,cohort,1.0,1.0,17322,0.03809425,4.0,False,False
claude-haiku-4-5,200,llm-only,COH-13,cohort,0.0,0.0,10955,0.03079005,1.0,False,False
claude-haiku-4-5,200,graph,UNA-20,unanswerable,1.0,1.0,40198,0.08634435,11.0,False,False
claude-haiku-4-5,200,sql-fts,UNA-20,unanswerable,1.0,1.0,5583,0.01087505,1.0,False,False
claude-haiku-4-5,200,sql-t2s,UNA-20,unanswerable,1.0,1.0,19414,0.052988150000000005,8.0,False,False
claude-haiku-4-5,200,llm-only,UNA-20,unanswerable,1.0,1.0,5696,0.0130838,1.0,False,False
claude-haiku-4-5,200,graph,TMP-2,temporal,0.5,0.7692307692307693,12562,0.0296971,3.0,False,False
claude-haiku-4-5,200,sql-fts,TMP-2,temporal,0.0,0.23076923076923078,7193,0.016502549999999998,1.0,False,False
claude-haiku-4-5,200,sql-t2s,TMP-2,temporal,1.0,0.8461538461538461,10667,0.023552000000000003,2.0,False,False
claude-haiku-4-5,200,llm-only,TMP-2,temporal,1.0,0.7692307692307693,4344,0.0225138,1.0,False,False
claude-haiku-4-5,200,graph,SL-109,simple-lookup,0.0,0.0,4903,0.018684700000000002,2.0,False,False
claude-haiku-4-5,200,sql-fts,SL-109,simple-lookup,1.0,1.0,4001,0.0120288,1.0,False,False
claude-haiku-4-5,200,sql-t2s,SL-109,simple-lookup,1.0,1.0,10053,0.021617700000000004,2.0,False,False
claude-haiku-4-5,200,llm-only,SL-109,simple-lookup,1.0,1.0,6029,0.01741255,1.0,False,False
claude-haiku-4-5,200,graph,TMP-58,temporal,1.0,0.6153846153846154,15202,0.030465150000000003,4.0,False,False
claude-haiku-4-5,200,sql-fts,TMP-58,temporal,0.0,0.38461538461538464,7121,0.017016299999999998,1.0,False,False
claude-haiku-4-5,200,sql-t2s,TMP-58,temporal,1.0,0.6153846153846154,10369,0.023937600000000003,2.0,False,False
claude-haiku-4-5,200,llm-only,TMP-58,temporal,1.0,0.8461538461538461,5173,0.022522550000000002,1.0,False,False
claude-haiku-4-5,200,graph,SL-190,simple-lookup,1.0,0.8,6635,0.0322005,2.0,False,False
claude-haiku-4-5,200,sql-fts,SL-190,simple-lookup,1.0,0.7,3174,0.00971505,1.0,False,False
claude-haiku-4-5,200,sql-t2s,SL-190,simple-lookup,1.0,0.8,10789,0.0204485,2.0,False,False
claude-haiku-4-5,200,llm-only,SL-190,simple-lookup,1.0,0.8,4706,0.01075005,1.0,False,False
claude-haiku-4-5,200,graph,RSN-63,reasoning,1.0,0.6666666666666666,66912,0.12910885000000002,15.0,False,False
claude-haiku-4-5,200,sql-fts,RSN-63,reasoning,0.5,0.4444444444444444,8059,0.016743799999999996,1.0,False,False
claude-haiku-4-5,200,sql-t2s,RSN-63,reasoning,1.0,0.6111111111111112,51298,0.0889258,10.0,False,False
claude-haiku-4-5,200,llm-only,RSN-63,reasoning,1.0,0.6666666666666666,12408,0.02237005,1.0,False,False
claude-haiku-4-5,200,graph,MH-116,multi-hop,1.0,1.0,23417,0.0451155,5.0,False,False
claude-haiku-4-5,200,sql-fts,MH-116,multi-hop,0.0,0.0,3477,0.01033255,1.0,False,False
claude-haiku-4-5,200,sql-t2s,MH-116,multi-hop,0.5,0.5,38557,0.09824405000000001,8.0,False,False
claude-haiku-4-5,200,llm-only,MH-116,multi-hop,0.0,0.0,3914,0.0123488,1.0,False,False
claude-haiku-4-5,200,graph,COH-15,cohort,1.0,1.0,9387,0.02718545,3.0,False,False
claude-haiku-4-5,200,sql-fts,COH-15,cohort,0.0,0.3333333333333333,8974,0.018131299999999996,1.0,False,False
claude-haiku-4-5,200,sql-t2s,COH-15,cohort,1.0,1.0,12151,0.0290155,3.0,False,False
claude-haiku-4-5,200,llm-only,COH-15,cohort,0.0,0.0,5494,0.0297913,1.0,False,False
claude-haiku-4-5,200,graph,UNA-18,unanswerable,0.0,0.0,43766,0.088443,11.0,False,False
claude-haiku-4-5,200,sql-fts,UNA-18,unanswerable,0.0,0.0,3607,0.01608755,1.0,False,False
claude-haiku-4-5,200,sql-t2s,UNA-18,unanswerable,1.0,1.0,10414,0.022072350000000004,2.0,False,False
claude-haiku-4-5,200,llm-only,UNA-18,unanswerable,0.0,0.0,3163,0.023781300000000002,1.0,False,False
claude-haiku-4-5,200,graph,TMP-132,temporal,0.5,0.4,14951,0.03587905,3.0,False,False
claude-haiku-4-5,200,sql-fts,TMP-132,temporal,0.5,0.4,3389,0.0158563,1.0,False,False
claude-haiku-4-5,200,sql-t2s,TMP-132,temporal,0.5,0.8,10781,0.0241493,2.0,False,False
claude-haiku-4-5,200,llm-only,TMP-132,temporal,1.0,0.6,8191,0.02372755,1.0,False,False
claude-haiku-4-5,200,graph,SL-5,simple-lookup,1.0,1.0,9038,0.02798285,3.0,False,False
claude-haiku-4-5,200,sql-fts,SL-5,simple-lookup,1.0,1.0,2367,0.014291299999999998,1.0,False,False
claude-haiku-4-5,200,sql-t2s,SL-5,simple-lookup,1.0,1.0,8837,0.02196495,2.0,False,False
claude-haiku-4-5,200,llm-only,SL-5,simple-lookup,1.0,1.0,3179,0.02194755,1.0,False,False
claude-haiku-4-5,200,graph,RSN-5,reasoning,0.5,0.4117647058823529,22571,0.03849255,6.0,False,False
claude-haiku-4-5,200,sql-fts,RSN-5,reasoning,0.5,0.11764705882352941,10449,0.01517005,1.0,False,False
claude-haiku-4-5,200,sql-t2s,RSN-5,reasoning,0.5,0.47058823529411764,49685,0.04638675,5.0,False,False
claude-haiku-4-5,200,llm-only,RSN-5,reasoning,0.5,0.5882352941176471,4931,0.0194713,1.0,False,False
claude-haiku-4-5,200,graph,MH-86,multi-hop,1.0,1.0,13287,0.04354145000000001,4.0,False,False
claude-haiku-4-5,200,sql-fts,MH-86,multi-hop,0.0,0.0,7748,0.0184763,1.0,False,False
claude-haiku-4-5,200,sql-t2s,MH-86,multi-hop,1.0,1.0,14941,0.03678605,4.0,False,False
