cutoff,model,tier,sys_a,sys_b,n_questions,a_only_right,b_only_right,both_right,both_wrong,diff_pct,statistic,p,p_bonf
lenient,qwen-2.5-72b,200,graph-cypher,sql-t2s,214,13,44,134,23,-0.1448598130841121,15.789473684210526,7.079528641296006e-05,0.0007079528641296005
lenient,qwen-2.5-72b,200,llm-only,sql-fts,214,25,17,129,43,0.03738317757009346,1.1666666666666667,0.2800872108114943,1.0
lenient,qwen-2.5-72b,200,llm-only,sql-t2s,214,22,46,132,14,-0.11214953271028039,7.779411764705882,0.005284500162984,0.052845001629839995
lenient,qwen-2.5-72b,200,sql-fts,sql-t2s,214,18,50,128,18,-0.14953271028037385,14.132352941176471,0.00017038793483715626,0.0017038793483715627
lenient,qwen-2.5-72b,2000,graph,graph-cypher,227,26,31,127,43,-0.022026431718061623,0.2807017543859649,0.5962416305866569,1.0
lenient,qwen-2.5-72b,2000,graph,llm-only,227,20,46,133,28,-0.1145374449339207,9.469696969696969,0.002088938772152057,0.020889387721520568
lenient,qwen-2.5-72b,2000,graph,sql-fts,227,37,44,116,30,-0.03083700440528636,0.4444444444444444,0.5049850750938457,1.0
lenient,qwen-2.5-72b,2000,graph,sql-t2s,227,17,60,136,14,-0.18942731277533043,22.90909090909091,1.6984666430537986e-06,1.6984666430537984e-05
lenient,qwen-2.5-72b,2000,graph-cypher,llm-only,227,28,49,130,20,-0.09251101321585908,5.194805194805195,0.022654494080089342,0.22654494080089344
lenient,qwen-2.5-72b,2000,graph-cypher,sql-fts,227,44,46,114,23,-0.008810572687224738,0.011111111111111112,0.9160510722818964,1.0
lenient,qwen-2.5-72b,2000,graph-cypher,sql-t2s,227,16,54,142,15,-0.1674008810572688,19.557142857142857,9.763500287447511e-06,9.763500287447511e-05
lenient,qwen-2.5-72b,2000,llm-only,sql-fts,227,28,9,151,39,0.08370044052863435,8.756756756756756,0.0030845709899566085,0.030845709899566084
lenient,qwen-2.5-72b,2000,llm-only,sql-t2s,227,24,41,155,7,-0.07488986784140972,3.9384615384615387,0.0471939192610152,0.47193919261015205
lenient,qwen-2.5-72b,2000,sql-fts,sql-t2s,227,17,53,143,14,-0.15859030837004406,17.5,2.873076843491048e-05,0.00028730768434910483
lenient,qwen-2.5-72b,20000,graph,graph-cypher,145,25,22,73,25,0.020689655172413834,0.0851063829787234,0.7704930827944241,1.0
lenient,qwen-2.5-72b,20000,graph,llm-only,145,17,29,81,18,-0.08275862068965512,2.630434782608696,0.10483300285833873,1.0
lenient,qwen-2.5-72b,20000,graph,sql-fts,145,17,30,81,17,-0.08965517241379306,3.0638297872340425,0.08005278235757934,0.8005278235757934
lenient,qwen-2.5-72b,20000,graph,sql-t2s,145,17,38,81,9,-0.1448275862068965,7.2727272727272725,0.007000941989448641,0.07000941989448642
lenient,qwen-2.5-72b,20000,graph-cypher,llm-only,145,25,40,70,10,-0.10344827586206895,3.0153846153846153,0.08247788747320968,0.8247788747320968
lenient,qwen-2.5-72b,20000,graph-cypher,sql-fts,145,23,39,72,11,-0.1103448275862069,3.629032258064516,0.0567798234743568,0.5677982347435679
lenient,qwen-2.5-72b,20000,graph-cypher,sql-t2s,145,10,34,85,16,-0.16551724137931034,12.022727272727273,0.000525557438272842,0.00525557438272842
lenient,qwen-2.5-72b,20000,llm-only,sql-fts,145,15,16,95,19,-0.006896551724137945,0.0,1.0,1.0
lenient,qwen-2.5-72b,20000,llm-only,sql-t2s,145,21,30,89,5,-0.06206896551724139,1.2549019607843137,0.2626182904425174,1.0
lenient,qwen-2.5-72b,20000,sql-fts,sql-t2s,145,22,30,89,4,-0.05517241379310345,0.9423076923076923,0.33168506805685966,1.0
